Date,Price,Open,High,Low,Vol.,Change %
13-09-2023,70.05,70.29,70.35,69.78,2.42M,-0.34%
14-09-2023,69.26,70.06,70.15,69.06,5.41M,-1.13%
15-09-2023,70.73,70.02,70.8,69.87,2.19M,2.12%
18-09-2023,71.08,71.36,71.36,70.74,1.94M,0.49%
20-09-2023,71.08,71,71.24,70.8,1.80M,0.00%
21-09-2023,70.93,71.09,71.14,70.71,1.54M,-0.21%
22-09-2023,71.83,71.33,72.03,71.32,3.85M,1.27%
25-09-2023,71.71,71.89,71.97,71.42,2.21M,-0.17%
26-09-2023,70.53,70.55,70.64,70.12,3.10M,-1.65%
27-09-2023,69.97,70,70.13,69.75,2.39M,-0.79%
28-09-2023,69.55,69.5,69.64,69.28,2.51M,-0.60%
29-09-2023,70.56,70.24,70.73,70,1.30M,1.45%
03-10-2023,67.73,67.48,68.43,66.1,14.05M,-4.01%
04-10-2023,67.06,69.5,69.5,66.94,7.71M,-0.99%
05-10-2023,67.39,67,67.58,66.88,4.11M,0.49%
06-10-2023,68.25,67.29,68.4,67.18,2.89M,1.28%
09-10-2023,69.31,68.5,69.7,68.32,5.07M,1.55%
10-10-2023,69.45,69.31,69.68,69,5.03M,0.20%
11-10-2023,69.52,70.1,71.55,69.24,2.62M,0.10%
12-10-2023,68.9,69.79,69.79,68.77,4.91M,-0.89%
13-10-2023,68.69,68.68,68.88,68.45,2.12M,-0.30%
16-10-2023,69.72,70.39,70.4,69.35,4.34M,1.50%
17-10-2023,69.8,69.79,69.91,69.45,2.75M,0.11%
18-10-2023,70.85,70.31,70.94,70.31,3.74M,1.50%
19-10-2023,70.28,70.49,70.65,70.1,2.35M,-0.80%
20-10-2023,70.76,70.5,70.9,70.08,2.19M,0.68%
23-10-2023,70.92,70.76,71.14,70.51,4.23M,0.23%
25-10-2023,70.01,70.48,70.51,69.75,1.78M,-1.28%
26-10-2023,70.59,70.3,70.7,70.11,3.04M,0.83%
27-10-2023,70.17,70.45,70.46,70.1,1.28M,-0.59%
30-10-2023,70.85,70.61,71,70.47,2.14M,0.97%
31-10-2023,71.04,70.9,71.1,70.73,1.91M,0.27%
01-11-2023,69.71,69.99,69.99,69.51,2.64M,-1.87%
02-11-2023,70.68,70.39,70.8,70.31,1.30M,1.39%
03-11-2023,69.82,70.18,70.18,69.7,7.00M,-1.22%
06-11-2023,70.77,70.79,70.85,70.52,3.08M,1.36%
07-11-2023,70.04,70.39,70.45,69.75,3.63M,-1.03%
08-11-2023,69.37,70.04,70.04,69.12,3.44M,-0.96%
09-11-2023,69.22,69.29,69.3,69.02,2.11M,-0.22%
10-11-2023,69.69,69.71,69.96,69.6,2.42M,0.68%
12-11-2023,69.13,70.34,70.34,69.09,2.34M,-0.80%
13-11-2023,68.63,68.78,68.89,68.4,3.93M,-0.72%
15-11-2023,70.86,68.3,70.94,68.3,7.26M,3.25%
16-11-2023,71.42,70.98,71.54,70.81,4.43M,0.79%
17-11-2023,72.27,69.3,72.4,69.3,5.85M,1.19%
20-11-2023,71.58,72.26,72.26,71.47,1.74M,-0.95%
21-11-2023,71.58,71.99,72.05,71.52,1.27M,0.00%
22-11-2023,72.18,71.59,72.29,71.51,2.28M,0.84%
23-11-2023,71.9,75.79,75.79,71.71,966.02K,-0.39%
24-11-2023,71.87,71.9,72.06,71.67,1.00M,-0.04%
28-11-2023,73.41,72.9,73.98,72.9,5.11M,2.14%
29-11-2023,74.08,73.74,74.43,73.74,4.31M,0.91%
30-11-2023,74.61,74.14,74.85,74.13,3.01M,0.72%
01-12-2023,75.21,74.89,75.27,74.75,2.67M,0.80%
04-12-2023,75.15,75.22,75.8,74.8,2.64M,-0.08%
05-12-2023,73.64,74.26,74.27,73.51,2.79M,-2.01%
06-12-2023,73.04,73.82,73.82,72.97,2.85M,-0.81%
07-12-2023,72.82,72.6,72.9,72.38,2.21M,-0.30%
08-12-2023,72.44,72.77,73,72.35,2.98M,-0.52%
11-12-2023,70.35,71.39,71.4,70.3,11.28M,-2.89%
12-12-2023,70.26,70.51,70.59,70.2,5.64M,-0.13%
13-12-2023,69.69,70.11,70.11,69.55,5.70M,-0.81%
14-12-2023,72.57,71.51,72.8,71.51,8.23M,4.13%
15-12-2023,72.82,72.63,72.9,72.5,2.88M,0.34%
18-12-2023,72.51,72.79,72.79,72.21,1.60M,-0.43%
19-12-2023,72.38,72.48,72.48,72,1.42M,-0.18%
20-12-2023,72.66,73.6,73.6,72.61,1.61M,0.39%
21-12-2023,73.14,73,73.32,73,2.53M,0.66%
22-12-2023,73.48,73.37,73.6,73.2,1.71M,0.46%
26-12-2023,73.31,73.48,73.6,73.25,1.81M,-0.23%
27-12-2023,73.06,73.29,73.3,72.95,1.46M,-0.34%
28-12-2023,73.39,73.36,73.65,73.15,1.60M,0.45%
29-12-2023,72.18,73.3,73.3,72.14,3.92M,-1.65%
01-01-2024,72.48,72.8,72.8,71.98,1.37M,0.42%
02-01-2024,73.01,72.5,73.15,72.5,1.61M,0.73%
03-01-2024,71.59,72.4,72.4,71.55,4.68M,-1.94%
04-01-2024,70.69,70.9,70.99,70.51,8.45M,-1.26%
05-01-2024,70.53,70.99,71.25,70.49,5.04M,-0.23%
08-01-2024,70.42,70.99,70.99,70.34,2.44M,-0.16%
09-01-2024,70.87,70.88,71.08,70.55,1.87M,0.64%
10-01-2024,70.49,70.87,70.87,70.12,2.53M,-0.54%
11-01-2024,70.43,70.5,70.58,70.25,1.49M,-0.09%
12-01-2024,70.25,70.43,70.43,70.06,3.29M,-0.26%
15-01-2024,70.99,70.91,71.14,70.9,2.25M,1.05%
16-01-2024,70.7,71,71,70.58,1.17M,-0.41%
17-01-2024,70.07,70.71,70.71,69.87,3.72M,-0.89%
18-01-2024,69.85,70.07,70.07,69.69,3.09M,-0.31%
19-01-2024,70.16,70.03,70.29,70,2.41M,0.44%
20-01-2024,70.12,70.17,70.3,69.98,942.82K,-0.06%
23-01-2024,69.43,70.1,70.1,69.3,3.83M,-0.98%
24-01-2024,70.13,69.66,70.2,69.35,1.96M,1.01%
25-01-2024,70.12,70.04,70.3,70,1.07M,-0.01%
29-01-2024,70.43,70.39,71.7,70.2,1.12M,0.44%
30-01-2024,70.78,70.9,70.9,70.55,1.75M,0.50%
31-01-2024,70.59,70.78,70.79,70.53,808.55K,-0.27%
01-02-2024,69.98,70.6,70.6,69.61,2.30M,-0.86%
02-02-2024,70.79,70.68,71,70.41,2.21M,1.16%
05-02-2024,69.22,70.79,70.79,69.11,5.92M,-2.22%
06-02-2024,69,69.1,69.33,68.96,4.26M,-0.32%
07-02-2024,68.85,69.58,69.58,68.71,3.49M,-0.22%
08-02-2024,68.9,68.89,69.04,68.69,2.22M,0.07%
09-02-2024,69.54,69.32,69.65,69.32,2.01M,0.93%
12-02-2024,69.87,69.55,70.21,69.5,2.39M,0.47%
13-02-2024,70.02,69.78,70.07,69.51,1.47M,0.21%
14-02-2024,67.92,68.4,68.4,67.71,8.60M,-3.00%
15-02-2024,69.13,68.72,69.2,68.64,2.27M,1.78%
16-02-2024,69.91,69.9,69.98,69.75,2.24M,1.13%
19-02-2024,70.01,70.11,70.2,69.92,6.17M,0.14%
20-02-2024,69.8,69.79,69.9,69.61,1.07M,-0.30%
21-02-2024,69.67,70.09,70.09,69.58,4.84M,-0.19%
22-02-2024,69.66,69.39,69.87,69.19,960.93K,-0.01%
23-02-2024,68.77,69.13,69.15,68.75,3.94M,-1.28%
26-02-2024,68.86,69.47,69.47,68.81,1.05M,0.13%
27-02-2024,68.68,68.9,68.9,68.41,2.30M,-0.26%
28-02-2024,68.01,67.02,68.53,67,3.64M,-0.98%
29-02-2024,68.29,68.39,68.68,68.06,1.32M,0.41%
01-03-2024,68.84,68.74,68.98,68.6,2.20M,0.81%
02-03-2024,69.4,69.26,69.46,69.2,784.96K,0.81%
04-03-2024,69.65,69.98,69.98,69.11,2.62M,0.36%
05-03-2024,71.06,70.16,71.15,70.16,8.24M,2.02%
06-03-2024,70.66,71.04,71.04,70.21,2.91M,-0.56%
07-03-2024,71.27,71,71.49,71,3.81M,0.86%
11-03-2024,71.77,72.33,72.33,71.3,6.66M,0.70%
12-03-2024,71.95,71.77,72.06,71.26,3.70M,0.25%
13-03-2024,71.26,71.59,71.6,71.12,4.23M,-0.96%
14-03-2024,72.55,72.06,72.86,72.06,6.28M,1.81%
15-03-2024,72.73,72.56,72.8,72.41,4.95M,0.25%
18-03-2024,72.66,72.6,72.82,72.27,4.41M,-0.10%
19-03-2024,72.43,72.89,72.89,72.25,2.43M,-0.32%
20-03-2024,72.49,72.72,72.72,72.39,2.13M,0.08%
21-03-2024,73.78,73.26,73.89,73.26,7.50M,1.78%
22-03-2024,72.47,72.68,72.69,72.08,7.62M,-1.78%
26-03-2024,72.83,72.55,73.02,72.29,2.47M,0.50%
27-03-2024,72.34,72.5,72.55,72.11,2.11M,-0.67%
28-03-2024,72.42,72.42,72.81,72.26,2.50M,0.11%
01-04-2024,74.03,73.55,74.2,73.14,8.15M,2.22%
02-04-2024,75.04,74.4,75.21,74.04,6.80M,1.36%
