"Date","Price","Open","High","Low","Vol.","Change %"
"08-09-2021","73.796","73.416","73.883","73.412","","0.48%"
"07-09-2021","73.442","73.073","73.494","73.047","","0.50%"
"06-09-2021","73.078","72.995","73.131","72.971","","0.11%"
"03-09-2021","72.997","73.013","73.166","72.930","","-0.01%"
"02-09-2021","73.006","72.998","73.134","72.951","","0.02%"
"01-09-2021","72.995","72.987","73.161","72.916","","0.06%"
"31-08-2021","72.951","73.423","73.423","72.907","","-0.47%"
"30-08-2021","73.299","73.456","73.556","73.187","","-0.24%"
"27-08-2021","73.475","74.126","74.210","73.454","","-0.92%"
"26-08-2021","74.155","74.103","74.275","74.091","","0.05%"
"25-08-2021","74.120","74.150","74.310","74.120","","-0.02%"
"24-08-2021","74.136","74.084","74.230","74.081","","0.00%"
"23-08-2021","74.135","74.261","74.321","74.089","","-0.29%"
"20-08-2021","74.352","74.385","74.483","74.322","","-0.04%"
"19-08-2021","74.380","74.280","74.464","74.261","","0.12%"
"18-08-2021","74.290","74.321","74.355","74.234","","-0.11%"
"17-08-2021","74.375","74.134","74.395","74.134","","0.28%"
"16-08-2021","74.170","74.232","74.305","74.123","","-0.10%"
"13-08-2021","74.242","74.241","74.326","74.238","","-0.10%"
"12-08-2021","74.315","74.103","74.340","74.103","","0.07%"
"11-08-2021","74.263","74.419","74.501","74.201","","-0.23%"
"10-08-2021","74.435","74.456","74.509","74.337","","-0.07%"
"09-08-2021","74.488","74.243","74.488","74.203","","0.33%"
"06-08-2021","74.242","74.082","74.242","74.041","","0.19%"
"05-08-2021","74.100","74.172","74.290","74.087","","-0.10%"
"04-08-2021","74.175","74.242","74.279","74.105","","-0.10%"
"03-08-2021","74.251","74.317","74.368","74.204","","-0.14%"
"02-08-2021","74.356","74.342","74.432","74.316","","0.02%"
"30-07-2021","74.344","74.256","74.454","74.249","","0.13%"
"29-07-2021","74.248","74.383","74.432","74.219","","-0.34%"
"28-07-2021","74.500","74.526","74.534","74.310","","-0.01%"
"27-07-2021","74.504","74.279","74.546","74.279","","0.22%"
"26-07-2021","74.340","74.442","74.534","74.338","","-0.12%"
"23-07-2021","74.427","74.457","74.575","74.374","","-0.04%"
"22-07-2021","74.455","74.441","74.525","74.306","","-0.05%"
"21-07-2021","74.495","74.525","74.642","74.493","","-0.05%"
"20-07-2021","74.535","74.944","74.973","74.535","","-0.43%"
"19-07-2021","74.858","74.681","75.032","74.681","","0.33%"
"16-07-2021","74.610","74.532","74.669","74.491","","0.08%"
"15-07-2021","74.550","74.462","74.576","74.436","","0.11%"
"14-07-2021","74.470","74.654","74.660","74.461","","-0.17%"
"13-07-2021","74.600","74.519","74.679","74.406","","0.07%"
"12-07-2021","74.545","74.537","74.685","74.415","","0.08%"
"09-07-2021","74.487","74.762","74.768","74.468","","-0.34%"
"08-07-2021","74.740","74.744","74.875","74.660","","-0.08%"
"07-07-2021","74.800","74.762","74.820","74.560","","0.28%"
"06-07-2021","74.591","74.335","74.629","74.243","","0.37%"
"05-07-2021","74.317","74.553","74.582","74.284","","-0.27%"
"02-07-2021","74.518","74.558","74.887","74.502","","-0.06%"
"01-07-2021","74.565","74.364","74.639","74.330","","0.27%"
"30-06-2021","74.365","74.218","74.474","74.205","","0.09%"
"29-06-2021","74.300","74.277","74.352","74.205","","0.03%"
"28-06-2021","74.275","74.159","74.316","74.159","","0.07%"
"25-06-2021","74.220","74.172","74.258","74.116","","0.04%"
"24-06-2021","74.190","74.225","74.278","74.110","","0.05%"
"23-06-2021","74.150","74.350","74.406","74.056","","-0.26%"
"22-06-2021","74.340","74.120","74.418","74.051","","0.27%"
"21-06-2021","74.140","74.102","74.336","74.058","","0.03%"
"18-06-2021","74.120","74.208","74.301","73.818","","-0.09%"
"17-06-2021","74.186","73.593","74.263","73.588","","1.24%"
"16-06-2021","73.275","73.345","73.394","73.260","","-0.12%"
"15-06-2021","73.360","73.208","73.383","73.159","","0.24%"
"14-06-2021","73.185","73.257","73.296","73.102","","-0.08%"
"11-06-2021","73.245","73.005","73.262","72.883","","0.23%"
"10-06-2021","73.080","72.948","73.135","72.932","","0.13%"
"09-06-2021","72.985","72.920","73.020","72.884","","0.04%"
"08-06-2021","72.955","72.783","72.975","72.765","","0.20%"
"07-06-2021","72.811","72.918","72.952","72.763","","-0.08%"
"04-06-2021","72.870","73.040","73.129","72.812","","-0.24%"
"03-06-2021","73.045","73.016","73.185","72.833","","0.12%"
"02-06-2021","72.960","72.860","73.333","72.860","","0.13%"
"01-06-2021","72.865","72.484","72.958","72.475","","0.48%"
"31-05-2021","72.518","72.377","72.662","72.347","","0.15%"
"28-05-2021","72.410","72.692","72.692","72.320","","-0.41%"
"27-05-2021","72.710","72.684","72.798","72.508","","-0.02%"
"26-05-2021","72.725","72.805","72.805","72.630","","-0.10%"
"25-05-2021","72.795","72.870","72.880","72.745","","-0.05%"
"24-05-2021","72.835","72.861","72.983","72.825","","0.01%"
"21-05-2021","72.827","73.007","73.095","72.760","","-0.26%"
"20-05-2021","73.015","73.157","73.227","73.015","","-0.28%"
"19-05-2021","73.220","73.130","73.250","72.938","","0.23%"
"18-05-2021","73.055","73.222","73.270","72.956","","-0.38%"
"17-05-2021","73.335","73.281","73.335","73.151","","0.05%"
"14-05-2021","73.300","73.450","73.486","73.189","","-0.24%"
"13-05-2021","73.480","73.611","73.662","73.470","","-0.08%"
"12-05-2021","73.538","73.379","73.541","73.371","","0.22%"
"11-05-2021","73.375","73.503","73.540","73.280","","-0.12%"
"10-05-2021","73.460","73.283","73.497","73.267","","0.28%"
"07-05-2021","73.254","73.619","73.757","73.248","","-0.48%"
"06-05-2021","73.605","73.788","74.007","73.595","","-0.28%"
"05-05-2021","73.810","73.769","74.055","73.741","","0.05%"
"04-05-2021","73.770","73.849","73.982","73.770","","-0.07%"
"03-05-2021","73.820","74.260","74.335","73.820","","-0.32%"
"30-04-2021","74.055","74.131","74.208","73.945","","-0.06%"
"29-04-2021","74.100","74.210","74.295","73.957","","-0.53%"
"28-04-2021","74.493","74.600","74.605","74.279","","-0.13%"
"27-04-2021","74.590","74.798","74.843","74.513","","-0.22%"
"26-04-2021","74.757","74.749","74.941","74.689","","-0.23%"
"23-04-2021","74.930","75.131","75.134","74.760","","-0.25%"
"22-04-2021","75.120","75.422","75.438","74.850","","-0.42%"
"21-04-2021","75.439","75.371","75.579","75.293","","0.06%"
"20-04-2021","75.395","74.674","75.458","74.520","","0.71%"
"19-04-2021","74.860","74.556","75.060","74.548","","0.43%"
"16-04-2021","74.540","74.715","74.862","74.292","","-0.25%"
"15-04-2021","74.730","75.062","75.358","74.730","","-0.44%"
"14-04-2021","75.060","75.185","75.259","75.059","","-0.28%"
"13-04-2021","75.270","75.010","75.547","74.961","","0.37%"
"12-04-2021","74.990","74.968","75.202","74.741","","0.34%"
"09-04-2021","74.734","74.566","74.987","74.538","","0.21%"
"08-04-2021","74.577","74.435","74.899","74.186","","0.28%"
"07-04-2021","74.368","73.454","74.592","73.437","","1.19%"
"06-04-2021","73.490","73.262","73.499","73.209","","0.23%"
"05-04-2021","73.319","73.336","73.482","73.292","","-0.09%"
"02-04-2021","73.385","73.286","73.405","73.268","","0.07%"
"01-04-2021","73.332","73.175","73.459","73.162","","0.25%"
